date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-04-30,34.57,34.9,34.45,33.85,953712.0,-0.88,-2.49,35.074,35.273,35.224,599054.96,543607.57,611643.54
2019-04-29,34.57,35.73,35.33,34.42,550331.75,0.97,2.82,35.23,35.428,35.206,507450.98,532317.89,616277.75
2019-04-26,35.16,35.2,34.36,34.34,517344.44,-1.07,-3.02,35.124,35.377,35.135,540550.57,569776.81,646968.77
2019-04-25,35.35,35.86,35.43,35.28,433788.28,-0.37,-1.03,35.452,35.421,35.043,519431.4,554378.17,640472.68
2019-04-24,35.53,35.9,35.8,34.82,540098.31,0.57,1.62,35.466,35.374,34.892,497221.89,568250.94,648490.99
2019-04-23,34.7,35.59,35.23,34.67,495692.12,0.43,1.24,35.472,35.301,34.676,488160.19,581695.23,641654.17
2019-04-22,35.8,36.15,34.8,34.4,715829.69,-1.2,-3.33,35.626,35.301,34.473,557184.8,583249.64,648830.09
2019-04-19,35.6,36.45,36.0,35.58,411748.62,0.5,1.41,35.63,35.414,34.351,599003.05,592732.88,634552.03
2019-04-18,35.8,35.8,35.5,35.13,322740.69,-0.33,-0.92,35.39,35.373,34.15,589324.93,633843.24,633275.78
2019-04-17,35.89,36.48,35.83,35.63,494789.81,-0.17,-0.47,35.282,35.309,33.988,639280.0,659729.81,640407.71
2019-04-16,34.7,36.1,36.0,34.6,840815.19,1.18,3.39,35.13,35.175,33.798,675230.28,679679.5,640005.74
2019-04-15,35.42,36.22,34.82,34.82,924920.94,0.02,0.06,34.976,34.983,33.616,609314.49,700237.6,627621.53
2019-04-12,34.86,35.0,34.8,34.6,363358.0,-0.16,-0.46,35.198,34.893,33.459,586462.7,724160.73,611172.61
2019-04-11,35.19,35.65,34.96,34.72,572516.06,-0.11,-0.31,35.356,34.665,33.291,678361.55,726567.19,627251.83
2019-04-10,35.05,35.43,35.07,34.52,674541.19,-0.16,-0.45,35.336,34.409,33.095,680179.63,728731.03,631956.6
2019-04-09,35.9,35.91,35.23,35.06,511236.25,-0.7,-1.95,35.22,34.051,32.875,684128.73,701613.1,640164.41
2019-04-08,35.7,36.27,35.93,35.65,810662.0,0.34,0.95,34.99,33.645,32.64,791160.71,714410.54,648368.09
2019-04-04,34.9,36.05,35.59,34.9,822852.25,0.73,2.09,34.588,33.287,32.382,861858.76,676371.18,646338.29
2019-04-03,34.4,34.95,34.86,34.31,581606.44,0.37,1.07,33.974,32.926,32.168,774772.83,632708.33,640582.04
2019-04-02,34.1,34.59,34.49,34.09,694286.69,0.41,1.2,33.482,32.667,32.036,777282.44,621085.6,638838.53
2019-04-01,34.2,35.05,34.08,33.9,1046396.19,0.16,0.47,32.882,32.421,31.929,719097.48,600331.98,637814.38
2019-03-29,32.52,34.32,33.92,32.41,1164152.25,1.4,4.3,32.3,32.249,31.859,637660.36,555005.45,633317.63
2019-03-28,32.17,32.65,32.52,31.95,387422.56,0.12,0.37,31.986,32.024,31.808,490883.6,498184.5,609243.55
2019-03-27,31.69,32.54,32.4,31.45,594154.5,0.91,2.89,31.878,31.917,31.769,490643.83,527936.48,614254.6
2019-03-26,31.59,31.65,31.49,31.21,403361.91,0.32,1.03,31.852,31.781,31.735,464888.76,535182.17,624963.99
2019-03-25,32.0,32.1,31.17,31.1,639210.56,-1.18,-3.65,31.96,31.698,31.735,481566.47,578715.71,652224.04
2019-03-22,32.08,32.38,32.35,31.71,430268.47,0.37,1.16,32.198,31.634,31.802,472350.55,582325.65,675355.85
2019-03-21,32.13,32.4,31.98,31.92,386223.72,-0.29,-0.9,32.062,31.477,31.716,505485.39,616305.4,674586.18
2019-03-20,31.88,32.47,32.27,31.7,465379.12,0.24,0.75,31.956,31.409,31.621,565229.13,648455.75,677931.98
2019-03-19,32.4,32.62,32.03,31.93,486750.5,-0.33,-1.02,31.71,31.404,31.515,605475.59,656591.47,671380.04
2019-03-18,31.79,32.56,32.36,31.59,593130.94,0.69,2.18,31.436,31.436,31.408,675864.94,675296.79,671726.34
2019-03-15,31.42,31.95,31.67,31.2,595942.69,0.22,0.7,31.07,31.469,31.283,692300.74,711629.81,664402.08
2019-03-14,30.98,31.9,31.45,30.9,684942.38,0.41,1.32,30.892,31.592,31.157,727125.4,720302.61,659388.28
2019-03-13,30.79,31.32,31.04,30.25,666611.44,0.38,1.24,30.862,31.621,31.078,731682.38,700572.72,647760.49
2019-03-12,30.91,31.33,30.66,30.45,838697.25,0.13,0.43,31.098,31.688,31.018,707707.35,714745.82,641218.71
2019-03-11,30.57,30.83,30.53,30.18,675309.94,-0.25,-0.81,31.436,31.771,30.951,674728.64,725732.38,619075.2
2019-03-08,30.74,31.21,30.78,30.36,770066.0,-0.52,-1.66,31.868,31.97,30.894,730958.87,768386.06,602991.51
2019-03-07,32.01,32.1,31.3,30.97,707727.25,-0.92,-2.85,32.292,31.955,30.82,713479.81,732866.97,584314.29
2019-03-06,32.31,32.61,32.22,31.78,546736.31,-0.13,-0.4,32.38,31.833,30.715,669463.06,707408.22,577498.94
2019-03-05,32.86,32.86,32.35,32.1,673803.69,-0.34,-1.04,32.278,31.626,30.525,721784.28,686168.61,563506.73
2019-03-04,33.0,33.79,32.69,32.5,956461.12,-0.21,-0.64,32.106,31.379,30.34,776736.12,668155.89,547147.97
2019-03-01,32.05,32.93,32.9,31.65,682670.69,1.16,3.65,32.072,31.097,30.138,805813.25,617174.36,528193.21
2019-02-28,31.7,32.1,31.74,31.45,487643.47,0.03,0.1,31.618,30.722,29.919,752254.12,598473.95,520883.76
2019-02-27,31.7,32.32,31.71,31.4,808342.44,0.22,0.7,31.286,30.534,29.726,745353.38,594948.26,523672.06
2019-02-26,32.29,33.0,31.49,31.32,948562.88,-1.03,-3.17,30.974,30.347,29.498,650552.94,567691.6,496917.46
2019-02-25,31.0,32.9,32.52,30.97,1101846.75,1.89,6.17,30.652,30.13,29.273,559575.66,512418.03,466942.94
2019-02-22,30.07,30.64,30.63,29.8,414875.06,0.55,1.83,30.122,29.817,29.013,428535.47,437596.95,432630.01
2019-02-21,30.18,30.64,30.08,29.84,453139.75,-0.07,-0.23,29.826,29.684,28.837,444693.78,435761.61,439206.15
2019-02-20,30.27,30.44,30.15,29.98,334340.28,0.27,0.9,29.782,29.597,28.656,444543.14,447589.67,432733.27
2019-02-19,29.86,30.63,29.88,29.72,493676.44,0.01,0.03,29.72,29.424,28.491,484830.26,440844.84,427514.01
2019-02-18,29.35,29.99,29.87,29.35,446645.84,0.72,2.47,29.608,29.3,28.337,465260.4,426140.06,421166.14
2019-02-15,29.74,29.85,29.15,28.91,495666.59,-0.71,-2.38,29.512,29.179,28.159,446658.43,439212.06,413546.08
2019-02-14,29.65,30.1,29.86,29.49,452386.56,0.02,0.07,29.542,29.116,28.025,426829.43,443293.57,413458.26
2019-02-13,29.32,30.04,29.84,29.12,535775.88,0.52,1.77,29.412,28.917,27.824,450636.19,452395.87,412154.28
2019-02-12,29.39,29.58,29.32,28.98,395827.12,-0.07,-0.24,29.128,28.649,27.617,396859.42,426143.33,417275.51
2019-02-11,29.1,29.53,29.39,28.9,353636.0,0.09,0.31,28.992,28.415,27.412,387019.72,421467.85,410948.17
2019-02-01,29.21,29.43,29.3,28.88,396521.59,0.09,0.31,28.846,28.209,27.219,431765.69,427663.06,416068.39
2019-01-31,28.45,29.29,29.21,28.45,571420.38,0.79,2.78,28.69,27.989,27.029,459757.71,442650.69,429668.87
2019-01-30,28.6,28.79,28.42,28.32,266892.03,-0.22,-0.77,28.422,27.715,26.813,454155.54,417876.87,419803.24
2019-01-29,28.56,28.83,28.64,28.47,346628.59,-0.02,-0.07,28.17,27.558,26.62,455427.23,414183.19,434216.94
2019-01-28,28.52,29.14,28.66,28.5,577365.88,0.14,0.49,27.838,27.374,26.448,455915.99,416192.22,447554.62
2019-01-25,27.87,28.63,28.52,27.85,536481.69,0.65,2.33,27.572,27.139,26.258,423560.43,387880.09,450695.38
2019-01-24,27.18,28.04,27.87,27.18,543409.5,0.71,2.61,27.288,26.933,26.074,425543.67,383622.96,446210.64
2019-01-23,26.95,27.42,27.16,26.92,273250.47,0.18,0.67,27.008,26.731,25.945,381598.19,371912.7,456536.31
2019-01-22,27.3,27.45,26.98,26.76,349072.41,-0.35,-1.28,26.946,26.585,25.86,372939.15,408407.7,475359.69
2019-01-21,27.08,27.7,27.33,27.03,415588.09,0.23,0.85,26.91,26.409,25.78,376468.45,400428.49,501693.56
2019-01-18,26.47,27.26,27.1,26.46,546397.88,0.63,2.38,26.706,26.228,25.709,352199.75,404473.71,531701.91
2019-01-17,26.85,26.85,26.47,26.43,323682.12,-0.38,-1.42,26.578,26.069,25.693,341702.24,416687.06,545864.75
2019-01-16,26.7,26.88,26.85,26.61,229955.23,0.05,0.19,26.454,25.91,25.765,362227.2,421729.6,550411.14
2019-01-15,26.31,26.83,26.8,26.3,366718.91,0.49,1.86,26.224,25.682,25.837,443876.25,454250.69,554478.57
2019-01-14,26.46,26.56,26.31,26.22,294244.62,-0.15,-0.57,25.908,25.522,25.913,424388.53,478917.03,556050.4
2019-01-11,25.85,26.58,26.46,25.75,493910.34,0.61,2.36,25.75,25.376,26.035,456747.66,513510.66,568914.18
2019-01-10,25.5,26.08,25.85,25.47,426306.88,0.15,0.58,25.56,25.215,26.135,491671.87,508798.33,554323.36
2019-01-09,25.22,26.1,25.7,25.22,638200.5,0.48,1.9,25.366,25.159,26.268,481232.01,541159.93,544372.52
2019-01-08,25.5,25.52,25.22,25.16,269280.31,-0.3,-1.18,25.14,25.134,26.4,464625.14,542311.68,525811.82
